loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.2073107659816742,0.04659271612763405,0.0,0.011420413990007138,1,,,,,,,,,
0.30339935421943665,0.05861311033368111,1.1111111111111112e-05,0.022840827980014276,2,,,,,,,,,
0.17387787997722626,0.0452721007168293,2.2222222222222223e-05,0.034261241970021415,3,,,,,,,,,
0.297375351190567,0.056108538061380386,3.3333333333333335e-05,0.04568165596002855,4,,,,,,,,,
0.1716424822807312,0.04083193838596344,4.4444444444444447e-05,0.05710206995003569,5,,,,,,,,,
0.16840271651744843,0.04200343042612076,5.555555555555556e-05,0.06852248394004283,6,,,,,,,,,
0.20584642887115479,0.04006065055727959,6.666666666666667e-05,0.07994289793004997,7,,,,,,,,,
0.20398163795471191,0.053815245628356934,7.777777777777778e-05,0.0913633119200571,8,,,,,,,,,
0.2579306364059448,0.08403977751731873,8.888888888888889e-05,0.10278372591006424,9,,,,,,,,,
0.1961197555065155,0.048724450170993805,0.0001,0.11420413990007137,10,,,,,,,,,
0.21288110315799713,0.057805031538009644,0.00011111111111111112,0.1256245538900785,11,,,,,,,,,
0.3204382359981537,0.11242571473121643,0.00012222222222222224,0.13704496788008566,12,,,,,,,,,
0.2245660275220871,0.1050935834646225,0.00013333333333333334,0.14846538187009278,13,,,,,,,,,
0.16023829579353333,0.06569864600896835,0.00014444444444444444,0.15988579586009993,14,,,,,,,,,
0.1462889462709427,0.051068127155303955,0.00015555555555555556,0.17130620985010706,15,,,,,,,,,
0.1694841980934143,0.05661512911319733,0.0001666666666666667,0.1827266238401142,16,,,,,,,,,
0.21148152649402618,0.07397822290658951,0.00017777777777777779,0.19414703783012136,17,,,,,,,,,
0.2550514042377472,0.09825722128152847,0.00018888888888888888,0.20556745182012848,18,,,,,,,,,
0.1351069211959839,0.05925670638680458,0.0002,0.21698786581013563,19,,,,,,,,,
0.12269885838031769,0.04755872115492821,0.00019999854312354064,0.22840827980014275,20,,,,,,,,,
0.2697630822658539,0.1262568235397339,0.00019999417253661235,0.2398286937901499,21,,,,,,,,,
0.09866707026958466,0.04086988419294357,0.00019998688836656323,0.251249107780157,22,,,,,,,,,
0.23026248812675476,0.14267787337303162,0.00019997669082563597,0.26266952177016417,23,,,,,,,,,
0.12473492324352264,0.054396603256464005,0.00019996358021096176,0.2740899357601713,24,,,,,,,,,
0.2385692596435547,0.11681532859802246,0.00019994755690455152,0.28551034975017847,25,,,,,,,,,
0.3389444053173065,0.12721037864685059,0.00019992862137328474,0.29693076374018557,26,,,,,,,,,
0.12151165306568146,0.06503938138484955,0.00019990677416889608,0.3083511777301927,27,,,,,,,,,
0.15621407330036163,0.06449054926633835,0.0001998820159279591,0.31977159172019987,28,,,,,,,,,
0.1857062429189682,0.0616811141371727,0.0001998543473718677,0.331192005710207,29,,,,,,,,,
0.31225916743278503,0.1179967075586319,0.00019982376930681531,0.3426124197002141,30,,,,,,,,,
0.14241242408752441,0.06771283596754074,0.00019979028262377118,0.35403283369022126,31,,,,,,,,,
