image,gt,pred,correct,conf,prob_closed,prob_open
/home/arutiunyan_ag/alut/qwen_lora/nanovlm/door_cls_hard22/test/closed/hard22_closed_000.jpg,closed,open,0,0.9973033666610718,0.0026966496370732784,0.9973033666610718
/home/arutiunyan_ag/alut/qwen_lora/nanovlm/door_cls_hard22/test/closed/hard22_closed_001.jpg,closed,open,0,0.9985246062278748,0.0014753914438188076,0.9985246062278748
/home/arutiunyan_ag/alut/qwen_lora/nanovlm/door_cls_hard22/test/closed/hard22_closed_002.jpg,closed,open,0,0.9999991655349731,8.21191690647538e-07,0.9999991655349731
/home/arutiunyan_ag/alut/qwen_lora/nanovlm/door_cls_hard22/test/closed/hard22_closed_003.jpg,closed,open,0,0.6307795643806458,0.36922043561935425,0.6307795643806458
/home/arutiunyan_ag/alut/qwen_lora/nanovlm/door_cls_hard22/test/closed/hard22_closed_004.jpg,closed,open,0,0.9297630786895752,0.070236936211586,0.9297630786895752
/home/arutiunyan_ag/alut/qwen_lora/nanovlm/door_cls_hard22/test/closed/hard22_closed_005.jpg,closed,open,0,0.9998782873153687,0.00012170089030405506,0.9998782873153687
/home/arutiunyan_ag/alut/qwen_lora/nanovlm/door_cls_hard22/test/closed/hard22_closed_006.jpg,closed,open,0,0.999910831451416,8.913292549550533e-05,0.999910831451416
/home/arutiunyan_ag/alut/qwen_lora/nanovlm/door_cls_hard22/test/closed/hard22_closed_007.jpg,closed,open,0,0.9999775886535645,2.235925057902932e-05,0.9999775886535645
/home/arutiunyan_ag/alut/qwen_lora/nanovlm/door_cls_hard22/test/closed/hard22_closed_008.jpg,closed,open,0,0.9999396800994873,6.026966366334818e-05,0.9999396800994873
/home/arutiunyan_ag/alut/qwen_lora/nanovlm/door_cls_hard22/test/closed/hard22_closed_009.jpg,closed,open,0,0.9934822916984558,0.006517715286463499,0.9934822916984558
/home/arutiunyan_ag/alut/qwen_lora/nanovlm/door_cls_hard22/test/closed/hard22_closed_010.jpg,closed,open,0,0.9997653365135193,0.0002347154077142477,0.9997653365135193
/home/arutiunyan_ag/alut/qwen_lora/nanovlm/door_cls_hard22/test/open/hard22_open_000.jpg,open,open,1,0.9999464750289917,5.350229548639618e-05,0.9999464750289917
/home/arutiunyan_ag/alut/qwen_lora/nanovlm/door_cls_hard22/test/open/hard22_open_001.jpg,open,closed,0,0.7719917893409729,0.7719917893409729,0.2280082255601883
/home/arutiunyan_ag/alut/qwen_lora/nanovlm/door_cls_hard22/test/open/hard22_open_002.jpg,open,closed,0,0.9999343156814575,0.9999343156814575,6.572272832272574e-05
/home/arutiunyan_ag/alut/qwen_lora/nanovlm/door_cls_hard22/test/open/hard22_open_003.jpg,open,closed,0,0.9999943971633911,0.9999943971633911,5.581350706052035e-06
/home/arutiunyan_ag/alut/qwen_lora/nanovlm/door_cls_hard22/test/open/hard22_open_004.jpg,open,closed,0,0.9999806880950928,0.9999806880950928,1.9285287635284476e-05
/home/arutiunyan_ag/alut/qwen_lora/nanovlm/door_cls_hard22/test/open/hard22_open_005.jpg,open,closed,0,0.9998865127563477,0.9998865127563477,0.00011345074017299339
/home/arutiunyan_ag/alut/qwen_lora/nanovlm/door_cls_hard22/test/open/hard22_open_006.jpg,open,closed,0,0.9992283582687378,0.9992283582687378,0.000771614839322865
/home/arutiunyan_ag/alut/qwen_lora/nanovlm/door_cls_hard22/test/open/hard22_open_007.jpg,open,closed,0,0.9823920130729675,0.9823920130729675,0.017608053982257843
/home/arutiunyan_ag/alut/qwen_lora/nanovlm/door_cls_hard22/test/open/hard22_open_008.jpg,open,closed,0,0.9924450516700745,0.9924450516700745,0.007554934360086918
/home/arutiunyan_ag/alut/qwen_lora/nanovlm/door_cls_hard22/test/open/hard22_open_009.jpg,open,closed,0,0.9886401891708374,0.9886401891708374,0.01135975867509842
/home/arutiunyan_ag/alut/qwen_lora/nanovlm/door_cls_hard22/test/open/hard22_open_010.jpg,open,closed,0,0.9999644756317139,0.9999644756317139,3.5482171369949356e-05
